Insumo ;Emissão ;Und.;Qtd.;Valot total;Sectorization
"PREMISSE - DOSADOR P/ SAB. LIQUIDO
AMAZON
";25/09/2020;und.;2;R$ 42,00;Diverse 
LAMINA DE SERRA IRWIN 07.1/4X24 DENTES;02/10/2020;und.;2;R$ 59,60;Diverse 
CORRENTE GALVANIZADA ELO 3CM 4MM;07/10/2020;Kg;7;R$ 14,00;Diverse 
LONA VINIL FLEX CINZA 1,42L;29/09/2020;m;15;R$ 375,00;Diverse 
ADESIVO BLOCKOUT IMPRESSO;08/09/2020;und.;1;R$ 400,00;Diverse 
DENVERMANTA PRIMER AC;23/10/2020;und.;7;R$ 866,95;Diverse 
FITA VEDA ROSCA 18MMX50M - TIGRE;25/09/2020;und.;6;R$ 95,04;Diverse 
PARAFUSO PONTA BROCA FLAN 4,2X13 1000 0 ANCORA;07/10/2020;und.;1000;R$ 48,00;Diverse 
FITA ISOLANTE 10M X 19MM VERDE;25/09/2020;und.;1;R$ 3,50;Diverse 
FITA ISOLANTE COLORIDA 5M AMARELA - 1 0 ADERE;10/09/2020;und.;1;R$ 2,48;Diverse 
FITA ISOLANTE COLORIDA 5M VERDE - 1 0 ADERE;10/09/2020;und.;1;R$ 2,48;Diverse 
PARAFUSO OGIVADO 12X1.1/2;07/10/2020;und.;300;R$ 105,00;Diverse 
FECHADURA C/ ESPELHO INOX MOD 601- 2 0 602/03 - STAM;07/10/2020;und.;2;R$ 92,00;Diverse 
JOGO DE ESCOVAS XSE 247 2680605 (1HB);29/09/2020;pc;2,5;R$ 54,83;Diverse 
CL-010 - PERFIL DE ALUMINIO SOL. NATURAL 3mt - Ecostick;24/09/2020;und.;44;R$ 1.720,40;Diverse 
CL-009 - PERFIL DE ALUMINIO SOL. NATURAL 22 0 3MT CUNHA - ECOSTICK;24/09/2020;und.;22;R$ 3.405,84;Diverse 
STK-301 - COLUNA CENTRAL 35MM C/ OLHAL 1 0 PRETO - ECOSTICK;24/09/2020;und.;1;R$ 224,77;Diverse 
STK-303 - TRAV. INTERM. COM PRESILHA 48 0 PARAF. PRETO - ECOSTICK;24/09/2020;und.;48;R$ 9.723,24;Diverse 
STK-306 - COLUNA CENTRAL 92MM (6,5M) 82 0 PRETO - ECOSTICK;24/09/2020;und.;82;R$ 37.713,44;Diverse 
STK-319 - MARCO TUBULAR P/ COLUNA 3 0 38MM PRETO - ECOSTICK;24/09/2020;und.;3;R$ 587,67;Diverse 
STK-320 - MONTANTE FOLHA MOVEL PRETO - 129 0 ECOSTICK;24/09/2020;und.;129;R$ 20.571,63;Diverse 
STK-321 - TRAV. SUPERIOR DA FOLHA 136 0 MOVEL PRETO - ECOSTICK;24/09/2020;und.;136;R$ 23.446,40;Diverse 
STK-348 - MARCO PARA COLUNA 92MM 53 0 (6,5M) PRETO - ECOSTICK;24/09/2020;und.;53;R$ 18.560,60;Diverse 
BRA-502 - BRACO PROJ/DESL. 60MM CX17 49 0 P.V. 2;24/09/2020;par;49;R$ 3.920,00;Diverse 
BRA-503 - BRACO PROJ/ DESL. 950MM CX17 15 0 P.V. 2;24/09/2020;par;15;R$ 1.510,00;Diverse 
UDI-FECH735 - FECHO MAX-AR 735 DIREITO 60 0 SEM PARAFUSO APARENTE;24/09/2020;und.;60;R$ 1.174,80;Diverse 
PRE-345 - PRESILHA DE FIXACAO FRONTAL;24/09/2020;und.;2416;R$ 2.416,00;Diverse 
PRE-346 - PRESILHA DE APOIO DO MODULO 584 0 FIXO;24/09/2020;und.;584;R$ 823,44;Diverse 
PSC-001 - GAXETA DA COLUNA E TRAVESSA 61 0 C/ 50MT - ECOSTICK;24/09/2020;RL;61;R$ 2.957,89;Diverse 
PSC-002 - GAXETA EXTERNA FLAP C/ 50MT - 38 0 ECOSTICK;24/09/2020;RL;38;R$ 2.079,36;Diverse 
CADEADO 40MM;07/10/2020;und.;2;R$ 46,00;Diverse 
PICARETA TRAMONTINA;05/10/2020;und.;6;R$ 294,00;Diverse 
RIPA DE PINUS 10CM X 2,5CM C/ 3 METROS;09/10/2020;Und.;195;R$ 1.101,75;Woodwork
PREGO 17 X 27 CABECA DUPLA;23/10/2020;Kg;20;R$ 486,40;Woodwork
PREGO 17X27 CABECA DUPLA;08/10/2020;Kg;20;R$ 234,71;Woodwork
PREGO 19 X 39 - GERDAU;17/09/2020;Kg;20;R$ 161,78;Woodwork
RIPA DE EUCALIPTO 5CM;09/10/2020;Und.;750;R$ 770,00;Woodwork
CHAPA GALVANIZADA 26 BOBINA 1,20M 34,5 0 LARGURA;08/09/2020;m;34,5;R$ 345,00;Metallurgy
"DISCO DIAMANTADO SEGMENTADO 7"" MTX";02/10/2020;Und.;2;R$ 69,00;Metallurgy
TELA LISA DE 1,20 ;30/09/2020;m;15;R$ 112,50;Landscaping and Facade
PRIMER ACABAMENTO SOLDAVEL - BIG SOLDA;02/10/2020;l;0,5;R$ 87,50;Painting 
PISO VINILICO EM PLACA 4MM TARKETT SQUARE SET;20/10/2020;m²;1019,11;R$ 159.898,36;Floor
PISO ELEVADO EM PLACAS 60X60;20/10/2020;m²;1;R$ 118.944,00;Floor
PORCELANATO BIANCO COVELANO 60X120CM RETIFICADO POLIDO, LINHA TIMELESS COD 24483E - PORTOBELLO;27/10/2020;m²;360;R$ 57.621,56;Wall revestment
"PORCELANATO MINERAL BLACK 60X60CM RETIFICADO NATURAL, LINHA MINERAL COD 23206E - PORTOBELLO
";27/10/2020;m²;115,83;R$ 27.787,62;Wall revestment
"TELHA ACO TRAPEZIO ""25"" 0,43MM";18/09/2020;m;180;R$ 6.633,00;Roofing
CAIBRO DE PINUS 5X10X3,00MT;09/10/2020;Und.;31;R$ 348,75;Roofing
PREGO 17 X 27 - GERDAU;07/10/2020;Kg;19;R$ 209,00;Roofing
PREGO 17 X 27 - GERDAU;28/09/2020;Kg;20;R$ 187,61;Roofing
PREGO 17 X 27 - GERDAU;23/10/2020;Kg;40;R$ 738,40;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA de 1,39M - MERIDIONAL TELHASBANDEJA E MANTA TERMICA de 1,39M - MERIDIONAL TELHAS;30/10/2020;m;37,5;R$ 2.495,75;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 1,04M - MERIDIONAL TELHAS;30/10/2020;m;12,48;R$ 829,92;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 1,88M -MERIDIONAL TELHAS;30/10/2020;m;1,8;R$ 125,01;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 0,79M - MERIDIONAL TELHAS;30/10/2020;m;17,38;R$ 1.155,77;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 0,79M - MERIDIONAL TELHAS;30/10/2020;m;66,5;R$ 325,85;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 0,70M - MERIDIONAL TELHAS;30/10/2020;m;4.9;R$ 586,63;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 1,14M - MERIDIONAL TELHAS;30/10/2020;m;34,2;R$ 2.274,30;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 2,8M - MERIDIONAL TELHAS;30/10/2020;m;42;R$ 2.793,00;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 1,24M - MERIDIONAL TELHAS;30/10/2020;m;19,84;R$ 1.319,36;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR 64,2 0 BANDEJA E MANTA TERMICA DE 5,35M - MERIDIONAL TELHAS;30/10/2020;m;64,2;R$ 66,50;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 4,87M - MERIDIONAL TELHAS;30/10/2020;m;19,48;R$ 1.295,42;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,12M - MERIDIONAL TELHAS;30/10/2020;m;20,4;R$ 1.361,92;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,715M - MERIDIONAL TELHAS;30/10/2020;m;51,39;R$ 3.417,44;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,965M - MERIDIONAL TELHAS;30/10/2020;m;53,64;R$ 3.567,06;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR 21,6 0 BANDEJA E MANTA TERMICA DE 3,60M - MERIDIONAL TELHAS;30/10/2020;m;21,6;R$ 1.436,40;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 4,13M - MERIDIONAL TELHAS;30/10/2020;m;24,78;R$ 1.647,87;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,72M - MERIDIONAL TELHAS;30/10/2020;m;85,8;R$ 5.705,70;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR  BANDEJA E MANTA TERMICA DE 5,97M - MERIDIONAL TELHAS;30/10/2020;m;89,5;R$ 5.955,08;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 3,48M - MERIDIONAL TELHAS;30/10/2020;m;31,2;R$ 2.082,78;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 8,36M - MERIDIONAL TELHAS;30/10/2020;m;100,32;R$ 6.671,28;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 4,26M - MERIDIONAL TELHAS;30/10/2020;m;17,04;R$ 1.133,16;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 3,43M - MERIDIONAL TELHAS;30/10/2020;m;20,58;R$ 1.368,57;Roofing
"TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,27M - MERIDIONAL TELHAS
";30/10/2020;m;10,54;R$ 700,91;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 9,01M - MERIDIONAL TELHAS;30/10/2020;m;45,05;R$ 2.995,83;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 5,83M - MERIDIONAL TELHAS;30/10/2020;m;186,56;R$ 12.406,24;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 8,75M - MERIDIONAL TELHAS;30/10/2020;m;26,25;R$ 1.745,63;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 6,08M - MERIDIONAL TELHAS;30/10/2020;m;194,56;R$ 12.938,24;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 1,57M - MERIDIONAL TELHAS;30/10/2020;m;4,71;R$ 313,22;Roofing
TELHA GAL TP 25 1020 0,43MM, ISOPOR BANDEJA E MANTA TERMICA DE 6,58M - MERIDIONAL TELHAS;30/10/2020;m;78,9;R$ 5.250,84;Roofing
CUMEEIRA TRAP 25 - MERIDIONAL TELHAS;30/10/2020;und.;56;R$ 1.674,40;Roofing
"ARRUELA DE ALUMINIO 3/4""";10/09/2020;pc;1;R$ 0,41;Electric installation
TERMINAL COPEL CURTO CABO FLEX 10MM;10/09/2020;und.;14;R$ 95,34;Electric installation
ELETRODUTO PVC 1;10/09/2020;und.;2;R$ 12,24;Electric installation
FITA ISOLANTE 10M X 19MM AZUL;25/09/2020;und.;1;R$ 3,50;Electric installation
ELETRODUTO PVC 3/4;10/09/2020;und.;1,5;R$ 5,79;Electric installation
CABO DE COBRE NU 50MM2 NORMATIZADO;25/09/2020;m;260;R$ 6.900,40;Electric installation
"K DUTO KANADUTO 1"" CINZA";21/10/2020;m;250;R$ 367,50;Electric installation
FITA ISOLANTE 10M X 19MM BRANCA - 1 0 FOXLUX;25/09/2020;rl;1;R$ 3,50;Electric installation
FITA ISOLANTE 10MX19MM VERMELHA;25/09/2020;rl;1;R$ 3,50;Electric installation
"K DUTO KANADUTO 2"" CINZA";21/10/2020;m;450;R$ 1.516,50;Electric installation
CABO FLEXIVEL 2,5MM2 PRETO - CORFIO;28/09/2020;m;100;R$ 197,00;Electric installation
FITA ISOLANTE PRETA 20M X 19MM - 3 0 PRYMIAN;25/09/2020;rl ;3;R$ 20,10;Electric installation
ABRACADEIRA P/ POSTE UNIVERSAL - 2 0 JANDRIGUE;10/09/2020;und.;2;R$ 21,34;Electric installation
CINTA LISA GALVANIZADA 18MM C/ 10 MT - JANDRIGUE;10/09/2020;rl;5;R$ 13,80;Electric installation
FITA ISOLANTE COLORIDA 5M AZUL - ADERE;10/09/2020;und.;1;R$ 2,48;Electric installation
FITA ISOLANTE COLORIDA 5M BRANCA - 1 0 ADERE;10/09/2020;und.;1;R$ 2,48;Electric installation
FITA ISOLANTE COLORIDA 5M VERMELHA - 1 0 ADERE;10/09/2020;und.;1;R$ 2,48;Electric installation
CAIXA DE PASSAGEM DE EMBUTIR 15X15CM 1 0 - JORDAO;10/09/2020;und.;1;R$ 10,30;Electric installation
"MANGUEIRA CORRUG. 3/4"" CZ (25MM) - KANAFLEX";16/10/2020;mt;250;R$ 457,50;Electric installation
"MANGUEIRA CORRUG. 4"" CZ (110MM) - KANAFLEX";16/10/2020;mt;220;R$ 2.376,00;Electric installation
"MANGUEIRA CORRUG. 2"" CZ (63MM) - KANAFLEX ";16/10/2020;m;1460;R$ 6.818,20;Electric installation
"BUCHA DE ALUMINIO 3/4""";10/09/2020;und.;1;R$ 0,64;Electric installation
"BUCHA DE ALUMINIO 1""";10/09/2020;und.;3;R$ 2,61;Electric installation
"ARRUELA DE ALUMINIO 1""";10/09/2020;und.;3;R$ 1,92;Electric installation
CABO DE COBRE NU - 16 MM2;10/09/2020;m;2;R$ 27,48;Electric installation
DISJUNTOR TRIPOLAR 50A;10/09/2020;und.;1;R$ 49,41;Electric installation
LUVA PVC SOLDADEL LR BUCHA DE LATAO 1 0 25MM X 3/4 - AMANCO;28/09/2020;und.;1;R$ 4,95;Hydrosanitary
Teste;16/03/2020;und.;1;R$ 20.000,00;Hydrosanitary
